date,Nestimate,Nse,Nlower,Nupper,month,time,noTumour,Tumour,all,x,n,prevalenceMean,prevalenceLower,prevalenceUpper,forceMean,forcese,forceLower,forceUppert
1/08/2006,73.7817407,10.25383259,56.26212325,96.75684005,8,2006,64,1,65,1,65,0.015384615,0.000389429,0.082763088,0.019507152,0.019312363,0.002742038,0.125841289
1/11/2006,82.53933288,10.19845711,64.84608389,105.0601835,11,2006,54,1,55,1,55,0.018181818,0.000460218,0.097191016,0.059890926,0.033191272,0.019668101,0.16825451
1/02/2007,85.06447554,9.291907895,68.71352133,105.3062754,2,2007,71,3,74,3,74,0.040540541,0.008439756,0.113937257,0.028124052,0.027620463,0.003977129,0.173360411
1/05/2007,80.88013442,8.068904252,66.54745106,98.29972508,5,2007,71,2,73,2,73,0.02739726,0.003335329,0.095489164,0.00066788,0.005058676,2.36E-10,0.999471356
1/08/2007,86.40772815,7.578525678,72.784386,102.5810053,8,2007,76,2,78,2,78,0.025641026,0.003120472,0.089573327,0.025326926,0.017517266,0.006425171,0.094543267
1/11/2007,94.54999991,7.52165554,80.91930553,110.4767574,11,2007,82,3,85,3,85,0.035294118,0.007338487,0.099696371,0.000446137,0.002768733,2.32E-09,0.988510697
1/02/2008,89.64674437,7.09848326,76.7782176,104.6721196,2,2008,83,0,83,0,83,0,0,0.043471152,0.085179652,0.042413941,0.03104472,0.212965732
1/05/2008,84.09583798,6.709327372,71.94000381,98.3056657,5,2008,72,3,75,3,75,0.04,0.008326166,0.112476822,0.020637577,0.020031349,0.003011496,0.128165821
1/11/2008,83.19961527,6.427094363,71.52590281,96.77858943,11,2008,67,2,69,2,69,0.028985507,0.003529759,0.10081538,0.037435155,0.025699633,0.009519175,0.135978596
1/02/2009,89.78696266,6.54088523,77.85473735,103.5479528,2,2009,87,4,91,4,91,0.043956044,0.012104567,0.108734909,0.024573012,0.023747099,0.003600532,0.149390896
1/05/2009,87.98995344,6.679136807,75.84234007,102.0832413,5,2009,74,4,78,4,78,0.051282051,0.014147431,0.12612763,0.122232527,0.053246441,0.050013262,0.269186618
1/08/2009,81.56615783,6.281326121,70.15449735,94.83409266,8,2009,61,6,67,6,67,0.089552239,0.033576989,0.184796167,0.031419136,0.029599642,0.004797708,0.17916397
1/11/2009,83.27490175,6.240568606,71.91404818,96.43052278,11,2009,58,8,66,8,66,0.121212121,0.053810862,0.224940156,0.05048868,0.032447251,0.013914689,0.166922253
1/02/2010,85.44983786,6.332075723,73.91285317,98.78761917,2,2010,57,7,64,7,64,0.109375,0.04512102,0.212457226,0.051340365,0.03291569,0.014186341,0.169108621
1/05/2010,92.06836282,6.85246677,79.58724625,106.5068065,5,2010,65,8,73,8,73,0.109589041,0.048516424,0.204564321,0.088181362,0.052233953,0.02635664,0.256781199
1/08/2010,79.73845457,7.014789378,67.13181797,94.71248253,8,2010,49,4,53,4,53,0.075471698,0.020946031,0.182107836,0.084703494,0.050866905,0.024939331,0.250841587
